automaton,device,traverser,evaluator,layout,reference_impl,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,cuda_block_size_x,cuda_block_size_y,seed,word_size,temporal_steps,temporal_tile_size_y,average_time_ms,average_time_per_cell_ps,std_time_ms,rounds_had_same_checksums,checksum
brian,CUDA,,,,baseline,16384,16384,128,5,1,0,0,32,2,42,0,0,0,403.323206,11.738250,0.084352,true,1370182-1335317-1332633-1347082-1348520-1322570-1344908-1333174-1321475-1342236-1347135-1335328-1331246-1335809-1337049-1330515
brian,CUDA,simple,standard,standard,,16384,16384,128,5,1,0,0,32,2,42,0,0,0,407.441443,11.858107,0.110713,true,1370182-1335317-1332633-1347082-1348520-1322570-1344908-1333174-1321475-1342236-1347135-1335328-1331246-1335809-1337049-1330515
brian,CUDA,simple,bit_array,bit_array,,16384,16384,128,5,1,0,0,32,2,42,32,0,0,423.026697,12.311697,0.159369,true,1370182-1335317-1332633-1347082-1348520-1322570-1344908-1333174-1321475-1342236-1347135-1335328-1331246-1335809-1337049-1330515
brian,CUDA,simple,bit_planes,bit_planes,,16384,16384,128,5,1,0,0,32,2,42,32,0,0,16.391149,0.477045,0.002726,true,1370182-1335317-1332633-1347082-1348520-1322570-1344908-1333174-1321475-1342236-1347135-1335328-1331246-1335809-1337049-1330515
brian,CUDA,simple,tiled_bit_planes,tiled_bit_planes,,16384,16384,128,5,1,0,0,32,2,42,32,0,0,22.026035,0.641042,0.002643,true,1370182-1335317-1332633-1347082-1348520-1322570-1344908-1333174-1321475-1342236-1347135-1335328-1331246-1335809-1337049-1330515
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16440,128,5,1,0,0,32,2,42,32,2,64,24.279245,0.706974,0.031251,true,1348209-1326898-1306555-1345462-1318650-1328386-1334375-1352078-1339908-1324346-1341211-1344577-1327322-1322976-1331697-1338630
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16368,128,5,1,0,0,32,2,42,32,2,64,25.267001,0.738972,0.003949,true,1341146-1317740-1302206-1337643-1311729-1324061-1328751-1348357-1334714-1319727-1332917-1339159-1316915-1314373-1327567-1330667
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16414,126,5,1,0,0,32,2,42,32,3,64,22.514765,0.667056,0.008198,true,1346887-1326076-1309081-1343768-1320194-1330441-1336353-1353468-1339990-1327449-1341491-1346111-1325700-1323003-1331745-1338570
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16368,126,5,1,0,0,32,2,42,32,3,64,23.217018,0.689795,0.001948,true,1343504-1320067-1307609-1339155-1315037-1327199-1332456-1350888-1336608-1325365-1336283-1341871-1319047-1317060-1329187-1332343
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16408,128,5,1,0,0,32,2,42,32,4,64,21.496000,0.627151,0.001570,true,1343452-1323916-1305520-1341733-1316305-1326497-1332441-1350492-1337215-1321649-1336869-1343117-1325342-1320881-1330928-1337175
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16368,128,5,1,0,0,32,2,42,32,4,64,22.765939,0.665825,0.003341,true,1341146-1317740-1302206-1337643-1311729-1324061-1328751-1348357-1334714-1319727-1332917-1339159-1316915-1314373-1327567-1330667
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16416,125,5,1,0,0,32,2,42,32,5,64,20.219469,0.603771,0.004851,true,1347994-1328849-1310234-1345021-1321901-1331629-1338259-1357143-1341987-1329306-1344156-1347057-1325643-1324936-1334024-1339671
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16320,125,5,1,0,0,32,2,42,32,5,64,22.714912,0.682277,0.005600,true,1341134-1320950-1305446-1337517-1312134-1325521-1330209-1351999-1333344-1322198-1334874-1338801-1318071-1313656-1327601-1330418
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16432,126,5,1,0,0,32,2,42,32,6,64,20.863884,0.617467,0.009313,true,1350543-1327467-1312891-1346614-1321492-1331438-1337184-1354165-1341079-1329012-1343878-1346856-1328536-1326595-1334514-1338233
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16320,126,5,1,0,0,32,2,42,32,6,64,22.574470,0.672677,0.003396,true,1340213-1319047-1304077-1336100-1310343-1324357-1328246-1348331-1331521-1320489-1332363-1337644-1316511-1312218-1326971-1329244
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16400,126,5,1,0,0,32,2,42,32,7,64,19.074829,0.565622,0.006553,true,1343271-1323435-1311208-1342813-1318600-1329380-1335499-1352693-1338710-1326580-1339443-1345207-1323492-1322350-1330909-1338392
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16320,126,5,1,0,0,32,2,42,32,7,64,22.348263,0.665937,0.002710,true,1340213-1319047-1304077-1336100-1310343-1324357-1328246-1348331-1331521-1320489-1332363-1337644-1316511-1312218-1326971-1329244
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16416,128,5,1,0,0,32,2,42,32,8,64,20.442202,0.596115,0.003684,true,1344939-1324922-1302796-1342027-1316916-1326858-1332886-1350954-1338049-1322113-1338076-1343431-1322612-1320879-1332156-1335411
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16320,128,5,1,0,0,32,2,42,32,8,64,22.528473,0.660817,0.002761,true,1337615-1316455-1298507-1334398-1306903-1321158-1324413-1345549-1329638-1315127-1328801-1334983-1315094-1309782-1325917-1327158
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16422,126,5,1,0,0,32,2,42,32,9,64,20.848512,0.617388,0.003014,true,1350151-1327127-1311743-1344858-1320720-1330973-1336659-1353863-1340523-1327977-1342784-1346456-1324802-1323682-1333540-1340094
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16352,16240,126,5,1,0,0,32,2,42,32,9,64,24.033901,0.718285,0.011201,true,1333719-1323524-1329394-1326877-1338821-1334403-1312862-1318139-1315948-1320295-1341309-1324130-1314844-1309148-1324743-1321857
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16412,120,5,1,0,0,32,2,42,32,10,64,20.183527,0.627963,0.006715,true,1351278-1335571-1319908-1356225-1328626-1342072-1349310-1365200-1349831-1345309-1347392-1350419-1330229-1334511-1342172-1347306
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16352,16240,120,5,1,0,0,32,2,42,32,10,64,22.785549,0.715025,0.008288,true,1343775-1331935-1337710-1334294-1345435-1349998-1322529-1321105-1324310-1325932-1350604-1335283-1319281-1315569-1334809-1329305
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16440,120,5,1,0,0,32,2,42,32,12,64,22.153504,0.688080,0.003518,true,1355985-1335553-1321986-1358506-1331119-1344210-1350876-1366754-1352044-1347186-1351018-1351751-1332753-1338099-1342525-1351843
