automaton,device,traverser,evaluator,layout,reference_impl,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,cuda_block_size_x,cuda_block_size_y,seed,word_size,temporal_steps,temporal_tile_size_y,average_time_ms,average_time_per_cell_ps,std_time_ms,rounds_had_same_checksums,checksum
game-of-life,CUDA,,,,baseline,4096,4096,1024,1,1,0,0,32,2,42,0,0,0,227.279688,13.229419,0.000000,True,44732-46231-45785-43598-45361-45551-46216-45831-42431-43977-43485-41916-45085-44701-43519-44637
game-of-life,CUDA,simple,standard,standard,,4096,4096,1024,1,1,0,0,32,2,42,0,0,0,234.177383,13.630918,0.000000,True,44732-46231-45785-43598-45361-45551-46216-45831-42431-43977-43485-41916-45085-44701-43519-44637
game-of-life,CUDA,simple,bit_array,bit_array,,4096,4096,1024,1,1,0,0,32,2,42,32,0,0,90.686071,5.278624,0.000000,True,44732-46231-45785-43598-45361-45551-46216-45831-42431-43977-43485-41916-45085-44701-43519-44637
game-of-life,CUDA,simple,bit_planes,bit_planes,,4096,4096,1024,1,1,0,0,32,2,42,32,0,0,10.363610,0.603241,0.000000,True,44732-46231-45785-43598-45361-45551-46216-45831-42431-43977-43485-41916-45085-44701-43519-44637
game-of-life,CUDA,simple,tiled_bit_planes,tiled_bit_planes,,4096,4096,1024,1,1,0,0,32,2,42,32,0,0,12.246921,0.712865,0.000000,True,44732-46231-45785-43598-45361-45551-46216-45831-42431-43977-43485-41916-45085-44701-43519-44637
game-of-life,CUDA,temporal,bit_planes,bit_planes,,3840,4368,1024,1,1,0,0,32,2,42,32,2,8,8.601272,0.500782,0.000000,True,44615-47198-43347-44206-45285-45774-45164-43622-45059-45782-42878-46886-45398-43839-44301-45274
game-of-life,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,4080,4104,1024,1,1,0,0,32,2,42,32,2,8,9.309782,0.542965,0.000000,True,47415-43669-45030-47175-44007-42705-45473-48200-45268-45205-44431-46743-42676-45235-45098-45977
game-of-life,CUDA,temporal,bit_planes,bit_planes,,3840,4368,1024,1,1,0,0,32,2,42,32,2,16,7.099974,0.413374,0.000000,True,44615-47198-43347-44206-45285-45774-45164-43622-45059-45782-42878-46886-45398-43839-44301-45274
game-of-life,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,4080,4088,1024,1,1,0,0,32,2,42,32,2,16,9.341021,0.546919,0.000000,True,47640-43265-44463-47693-43828-42523-45352-48003-44989-44852-44276-46679-43679-45192-43986-45032
game-of-life,CUDA,temporal,bit_planes,bit_planes,,3840,4368,1024,1,1,0,0,32,2,42,32,2,32,8.574702,0.499235,0.000000,True,44615-47198-43347-44206-45285-45774-45164-43622-45059-45782-42878-46886-45398-43839-44301-45274
game-of-life,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,4080,4080,1024,1,1,0,0,32,2,42,32,2,32,10.904023,0.639685,0.000000,True,48612-43767-43955-46668-43692-42401-45285-47906-44886-44718-44146-46589-43680-45803-44293-46038
game-of-life,CUDA,temporal,bit_planes,bit_planes,,3840,4320,1024,1,1,0,0,32,2,42,32,2,64,12.554580,0.739073,0.000000,True,44398-46068-43766-43416-44485-45562-44604-43128-44897-45265-42527-46237-44787-42975-44027-45046
game-of-life,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,4080,3968,1024,1,1,0,0,32,2,42,32,2,64,15.891877,0.958613,0.000000,True,46047-41937-43813-45767-42169-41021-44114-46285-43853-43553-42852-45718-42463-44031-43502-44082
game-of-life,CUDA,temporal,bit_planes,bit_planes,,3840,4340,1024,1,1,0,0,32,2,42,32,2,128,19.066797,1.117267,0.000000,True,44397-46704-43659-44344-44830-45664-44852-43294-44978-45521-42602-46457-44574-42671-43776-45107
game-of-life,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,4080,4032,1024,1,1,0,0,32,2,42,32,2,128,23.084021,1.370348,0.000000,True,46852-43170-44204-46079-42984-41619-44684-47185-44488-44202-43767-46325-42407-45541-44702-44220
